,Thu 1st Oct 2015,Fri 2nd Oct 2015,Sat 3rd Oct 2015,Sun 4th Oct 2015,Mon 5th Oct 2015,Tue 6th Oct 2015,Wed 7th Oct 2015,Cost of Goods,Revenue,Gross Profit,Margin,Tax
,1438.210000,3539.710000,6802.240000,4925.070000,3373.560000,2640.110000,3247.980000,25966.880000,36877.300000,10910.420000,0.295857,0.000000

Cost of Goods,1438.210000,3539.710000,6802.240000,4925.070000,3373.560000,2640.110000,3247.980000
Revenue,2158.250000,5049.300000,9548.150000,7074.000000,4924.200000,3567.500000,4555.900000
Gross Profit,720.040000,1509.590000,2745.910000,2148.930000,1550.640000,927.390000,1307.920000
Margin,0.333622,0.298970,0.287586,0.303779,0.314902,0.259955,0.287083
Tax,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
