Day,Revenue,Cost of Goods,Gross Profit,Margin
2015-10-01,2158.25,1438.21,720.04,0.333622
2015-10-02,5049.3,3539.71,1509.59,0.29896999999999996
2015-10-03,9548.15,6802.24,2745.91,0.287586
2015-10-04,7074.0,4925.07,2148.93,0.303779
2015-10-05,4924.2,3373.56,1550.64,0.314902
2015-10-06,3567.5,2640.11,927.39,0.259955
2015-10-07,4555.9,3247.98,1307.92,0.287083
