Week,Basket Value,Revenue,Cost of Goods,Gross Profit,Margin,Orders
2015-09-07,109.92738500000002,31109.45,21775.51,9333.94,0.300036,283.0
2015-09-14,81.873014,17520.825,12246.63,5274.195,0.30102399999999996,214.0
2015-09-21,145.871166,23777.0,16685.15,7091.85,0.298265,163.0
2015-09-28,116.43356000000001,42847.55,30206.29,12641.26,0.295029,368.0
