Type,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Average
Snacks,0,0,0,0,0,0,7.9482439926062911,-24.584148727984342,-45.669802140771978,86.089552238805965,11.83830606352263,-69.219736087205959,-3.1686859273066093,61.549566891241568,134.58445040214477,-24.0,-39.097744360902254,-33.909465020576128,253.42465753424656,-73.103124265914971,-17.467248908296945,-17.724867724867725,-100.0,-7.395498392282958,-100.0,55.555555555555557,121.42857142857143,212.90322580645162,-63.015463917525771,-100.0,-100.0,-100.0,439.02439024390242,324.88687782805431,-55.85653430701354,-68.933566542020642,284.20574454567253,174.7346167448913
Cosmetics,-12.47263656264318,-0.27918338858838954,192.41178186060077,54.984641161686689,-100.0,-26.023166023166027,-56.906750173973556,13.282196205086814,-70.135424091233062,0.0,-9.5465393794749414,-34.168865435356203,-100.0,0.0,36.77354709418838,-100.0,449.67032967032964,74.263627882180472,-65.659655831739968,-39.198218262806236,0.0,30.76923076923077,392.15686274509807,8.2527034718269778,-17.034700315457414,-11.628643852978454,-12.800286841161707,108.10032894736842,-10.452479747085556,-77.052074139452785,-100.0,-100.0,-53.846153846153847,2903.3333333333335,-60.460599334073251,-45.543859649122808,136.72680412371133,263.97093524823504
Chemical free vegetables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.89145496535798,8.1461311549807132,16.528745279060015,-55.146783440407937,82.895497462907059,35.711150131694467,57.361798479702408,78.625401863165081,-18.957771374386645,-69.518803142092807,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,498.87433772585246
Eggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.0,100.0,23.529411764705884,-7.1428571428571432,-7.6923076923076925,-33.465608465608469,34.791252485089466,25.811209439528024,111.04337631887456,13.076324852794125,-84.034191393201027,-100.0,-100.0,-86.461538461538467,5065.909090909091,-21.777386713594368,-36.782902137232846,65.12455516014235,2221.931216931217
Flour,0,0,0,0,0,314.59163346613548,-32.192192192192195,253.16209034543843,-47.828049759229536,49.60099990385541,36.227506426735211,-75.355003066471667,-16.041347626339963,207.62881896944825,-27.626995538295066,-39.784946236559136,-8.1972789115646343,147.40644683216007,-62.298764507675031,-21.847070506454816,224.14231257941549,6.9776558212465698,-29.204836936606817,30.227743271221531,38.473767885532588,-3.4443168771526982,51.129607609988106,24.822974036191976,-21.367790734320831,-65.370741482965926,-100.0,-100.0,-100.0,-100.0,-25.0,-100.0,-100.0,509.88950448207174
Fish,30.563550273883578,64.545260612956,31.767502160760582,-28.569085959791416,-80.922865013774114,179.99999999999997,-17.070654976792156,22.481343283582088,-100.0,-100.0,-100.0,-100.0,-100.0,27.94973343488196,-33.332539673091354,-100.0,-50.0,100.0,-100.0,-100.0,-100.0,-45.105820105820101,823.49397590361446,-40.965427266797128,-14.232044198895023,208.18088121618138,-78.993353120688937,321.33333333333326,-11.798601927073481,-75.830031059226741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,131.50246281933218
Honey,0,0,0,0,0,0,100.0,-100.0,100.0,-100.0,-100.0,-87.5,-100.0,200.0,33.333333333333336,-100.0,-100.0,-75.0,6666.666666666667,-41.871921182266007,-89.830508474576277,3625.0,-3.3557046979865772,-9.7222222222222214,175.38461538461539,-49.720670391061454,92.777777777777771,-7.0220941402497612,-2.4692633536522344,-94.915254237288138,-100.0,-100.0,733.33333333333337,580.0,-78.63602941176471,-13.2679401135777,803.88976111111106,8086.3464494623668
Fresh Produce,-29.319281129230284,41.861942734564458,30.435515086268879,34.241125010632054,-93.984009612067638,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13.18561118201848
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0,-33.333333333333336,105.12820512820512,76.25,20.567375886524822,1.1764705882352942,19.767441860465116,-9.7087378640776691,-77.956989247311824,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,379.6875
Frozen fruits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280.2631578947369,-8.5795996186844619,-77.893639207507817,830.18867924528297,-21.095334685598377,92.14524421593832,18.403360782398696,-35.197740112994353,83.173496076721889,-59.257496430271303,-16.588785046728972,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1601.8845029239767
Super foods,85.827104780707941,29.114492423667492,32.145218724438067,41.117317607463619,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,32.168457415249129
Dried Fruits & Nuts,-35.751008771246518,45.753464518241024,48.219870899048367,65.460422933596732,-91.046183485740656,117.32707023259339,21.793620359072676,-14.015427990783289,-66.228362183754996,-100.0,-67.964514539181863,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-44.615384615384613,300.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,19.74412601019235
Milk,0,0,0,0,0,299.99999999999994,-62.5,500.00000000000006,66.666666666666643,16.666666666666668,-14.285714285714286,-93.333333333333329,-50.0,2111.9122257053291,-61.904761904761905,100.0,-87.5,-100.0,-100.0,-100.0,-87.351190476190467,-100.0,2500.0,0.0,47.058823529411768,17.692307692307693,-72.810457516339866,38.46153846153846,-12.5,-77.777777777777771,-100.0,-100.0,50.0,3609.5238095238096,-37.09884467265725,-55.714285714285715,-25.806451612903224,515.60050940438873
Vinegar,0,0,0,0,0,500.0,-83.333333333333329,600.0,-42.857142857142861,-24.999999999999993,100.0,-100.0,-100.0,-100.0,25.448028673835118,0.0,-83.333333333333329,800.0,-66.666666666666671,-100.0,-100.0,334.28571428571428,-41.666666666666664,23.684210526315791,-34.650455927051674,59.069767441860463,244.44444444444446,-20.806451612903228,-6.3136456211812613,-86.956521739130437,-100.0,-100.0,-69.298245614035082,5300.0,-70.370370370370367,-13.120075,144.59045055575265,1175.7087343189967
Accessories,-100.0,0,483.33333333333331,-8.5714285714285712,-100.0,29.374999999999996,-100.0,5.7971014492753588,-100.0,48.401826484018279,-76.92307692307692,-54.0,-100.0,1576.8115942028985,-88.072601555747625,-100.0,0.0,-100.0,421.01449275362324,-100.0,-100.0,-100.0,-100.0,-100.0,375.6606397774687,114.91228070175438,-100.0,-77.551020408163268,3434.5454545454545,-51.131687242798357,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9355.2252252252238
Herbs,0,0,0,0,0,0,-63.821138211382113,237.07865168539325,9.6666666666666661,51.063829787234042,-42.052313883299796,-47.222222222222221,-53.289473684210527,187.32394366197184,18.137254901960784,-100.0,-27.385892116182571,28.571428571428573,-72.0,80.952380952380949,-67.982456140350877,482.1917808219178,189.41176470588235,-83.219512195121951,349.03100775193798,147.53129046180408,-26.873921154952662,-65.355269432522647,-36.476256022023406,-81.04008667388949,-100.0,-100.0,-68.571428571428569,12007.272727272728,-45.295840216248685,-52.604488367304917,-4.9959959455546041,123.51637589824286
Sea Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.5,-53.638286620835537,-6.6955629063533753,17.227600061124708,458.12719440524194
Veal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012169151201706448,-54.797104094421123,1.3458950201884252,63.679140046648413
Spices,0,0,0,0,0,0,75.0,-57.142857142857146,100.0,0.0,-16.666666666666668,-40.0,-66.666666666666671,583.4905660377359,-27.536231884057973,-100.0,-100.0,-100.0,-40.571428571428569,145.51282051282053,97.127937336814625,-45.960264900662253,134.31372549019608,-47.74058577405858,17.934347477982389,196.63951120162929,13.14795743220048,-11.235841423948211,-17.466104591546095,-76.773881833241305,-100.0,-100.0,6.9836552748885588,422.30555555555554,-36.792001276392064,-61.632309633992428,206.08063596491226,282.42814516129033
Crackers,0,0,0,0,0,0,700.0,-75.0,-100.0,0.0,0.0,-100.0,-50.0,-100.0,229.1044776119403,-33.333333333333336,50.0,-100.0,398.63945578231295,5.9572532969531604,-66.523605150214593,29.23076923076923,83.730158730158735,-18.142548596112309,148.49604221635883,-1.4281163729029447,2.7091075564172971,-0.037755637126377938,28.31273475040393,-92.80457890433361,-100.0,-100.0,50.0,0.0,-100.0,-50.0,-100.0,831.53972075108345
Bread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.925575101488498,172.10073710073709,27.436904600659165,18.118047190533552,-21.445710857828434,-23.940435280641466,-58.935742971887549,-100.0,-100.0,8.5574572127139366,901.12612612612611,-57.723284589426328,-72.783768518518528,141.41783121550276,152.92502124492557
Grains & Cereal,2.2413936298326513,-0.779830021425024,94.890242030394504,35.364976343882759,-87.617588300327796,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,18.977056039470391
Herbal pharmacy,0,0,0,0,0,0,-38.46153846153846,234.86842105263159,151.27701375245579,-80.766223612197024,326.42276422764229,-69.685414680648236,-24.213836477987421,58.091286307053942,483.72703412073491,-90.692446043165461,54.589371980676326,-88.4375,40.54054054054054,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,91.615515214836094
Home appliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,0.0
spreads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.4736842105263,68.817204301075265,231.84713375796179,-39.731285988483684,-58.917197452229303,-94.573643410852711,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,459.02255639097746
Chemical free produce,-100.0,0,0,2962.58382642998,-80.437680730068976,80.34567901234567,81.516976998904724,-13.419821994267616,-24.608844130048439,21.280332794083662,-56.133999009108571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1407.1979671979673
Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,103.7037037037037,-23.636363636363633,-100.0,9.8901098901098869,166.66666666666666,213.75,1.3944223107569722,-76.620825147347745,207.64705882352945,23.463534553400702,79.977876106194685,119.07191149354642,-52.837864377297088,-93.575252825698982,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,749.07407407407402
Honey & Sweeteners,-68.512110726643613,54.94505494505492,280.73908174692053,-16.196078431372552,-29.80814225549836,79.166666666666671,-49.413953488372101,187.42184626700995,-76.007677543186176,126.87999999999998,-27.268453220498355,-87.879767291531991,300.0,-25.0,16.711111111111123,157.04493526275704,-24.444444444444443,-58.823529411764703,54.952380952380942,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,51.804673002997532
Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57.954545454545453,12.23021582733813,100.0,-50.0,-64.102564102564102,1314.2857142857142,-2.7777777777777777,73.428571428571445,-23.184064699715449,-62.175862741275097,-100.0,-100.0,25.257731958762886,351.64609053497941,-44.328018223234622,-78.232405891980363,194.73684210526315,642.12121212121224
Juices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.333333333333329,42.375366568914956,-55.303810504634399,-12.903225806451612,-100.0,114.81481481481481,17.241379310344829,-57.983193277310924,356.69999999999999,-56.317057149113204,-64.160401002506262,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,112.60155316606929
cheese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.6666666666667,55.645962732919266,-65.80071032363621,-31.096849474912485,-54.022015241320915,-100.0,-100.0,-100.0,32.596685082872931,66.666666666666671,-100.0,48.0,533.53472222222217
Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.0,177.27272727272728,0.0,-46.393442622950822,568.50152905198775,-52.607502287282706,166.02316602316603,-93.759071117561689,1474.4186046511627,-27.326440177252586,-91.260162601626021,-100.0,-100.0,-100.0,-100.0,-34.883720930232556,-100.0,-100.0,-100.0,135.54736842105262
Ricenpasta,0,0,0,0,0,1466.8257756563246,-59.573495811119571,122.79577995478523,-85.82783696938948,200.00000000000006,-33.333333333333343,-100.0,-100.0,11.426014319809072,-74.698795180722897,100.0,150.0,-100.0,-52.698412698412696,44.29530201342282,-38.604651162790695,50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,231.29847852028641
