Created at,All,Unfulfilled,% Unfulfilled
2015-11-19,15,15,100.0
2015-11-20,9,9,100.0
2015-11-21,24,24,100.0
2015-11-22,21,20,95.23809523809524
2015-11-23,18,18,100.0
2015-11-24,20,20,100.0
2015-11-25,14,14,100.0
