Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
AMARANTH (ORGANIC),0,Grains,182.0,49.0,15.642572250719166,5.0,0.008084510201326516,1214.2495321019405,308.7999375010789,-85.01131808674064,0.00855872646128052
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,500.79,100.47,6.310901976739025,45.0,0.02224528496550718,1214.2495321019405,308.7999375010789,-58.75724167394969,0.017548882603364364
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2037.07,405.8,6.038882343817487,39.0,0.09048743514184729,1214.2495321019405,308.7999375010789,67.76370475298489,0.07088022853035988
AMERICAN RED APPLE / 500G,NGS,Fresh Produce,566.62,130.79,4.7868956697716625,45.0,0.025169478957558413,1214.2495321019405,308.7999375010789,-53.3357860126867,0.02284481293614039
AMERICAN RED APPLES,Kheir Misr,Fresh fruits,2657.25,457.21,9.574167608745832,39.0,0.11803606995865322,1214.2495321019405,308.7999375010789,118.8388737033431,0.07985990459922584
AMERICAN YELLOW APPLES,Kheir Misr,Fresh fruits,952.97,201.31,6.632945521637779,39.0,0.04233129498108863,1214.2495321019405,308.7999375010789,-21.517779105061674,0.03516239232490574
AMINO FUEL - ANABOLIC LIQUID,0,Food supplements,328.0,65.5,0.0,6.0,0.01456988651667636,1214.2495321019405,308.7999375010789,-72.98743039808203,0.01144074659620151
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),0,Snacks,232.0,47.2,0.0,11.0,0.01030552948740523,1214.2495321019405,308.7999375010789,-80.89354833035071,0.008244324264743684
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),NGS,Cookies,310.3,56.2,9.765054912562565,18.0,0.013783645689404496,1214.2495321019405,308.7999375010789,-74.44512089184407,0.00981633524742786
ANNAS ALMOND THINS,Biscuits,Snacks,50.25,10.05,4.492435114408755,25.0,0.002232124382509107,1214.2495321019405,308.7999375010789,-95.86164139482811,0.0017554122639973312
ANNAS CAPPUCCINO THINS,Biscuits,Snacks,67.0,13.4,2.70180507087725,26.0,0.0029761658433454757,1214.2495321019405,308.7999375010789,-94.4821885264375,0.0023405496853297746
ANTI-CELLULITE BODY SCRUB (WITH COFFEE&VANILLA),0,Cosmetics,70.0,22.0,0.0,15.0,0.0031094270005101988,1214.2495321019405,308.7999375010789,-94.2351223410541,0.003842693513227988
ANTI-FRIZZ HAIR SERUM,0,Cosmetics,120.0,24.0,3.9259226031843397,18.0,0.005330446286588912,1214.2495321019405,308.7999375010789,-90.11735258466416,0.004192029287157805
ANTISEPTIC CREAM WITH TEA TREE OIL / 118ML,"Tea Tree Therapy, Inc.",Cosmetics,203.4,30.6,2.8570059437402318,39.0,0.009035106455768206,1214.2495321019405,308.7999375010789,-83.24891263100575,0.005344837341126202
APPLE AND MANGO JUICE ( ORGANIC ),Voelkel,Juices,41.25,8.25,0.0,24.0,0.0018323409110149386,1214.2495321019405,308.7999375010789,-96.60283995097831,0.0014410100674604955
APPLE CIDER VINEGAR ( ORGANIC ),0,Vinegar,8342.044348000001,2435.794348,57.79759173264072,12.0,0.3705568276446386,1214.2495321019405,308.7999375010789,587.0123584531599,0.4254550518462271
