KOFTA,0.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2641.7999877929688
LEEKS,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.100000381469727
LEMON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,16.0,18.0,8.0,5.0,13.0,7.0,10.0,6.0,10.0,8.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,752.0
MELON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,18.0,12.0,26.0,17.0,2.0,3.0,11.0,6.0,7.0,5.0,8.0,5.0,9.0,10.0,8.0,10.0,3.0,12.0,21.0,17.0,19.0,9.0,3.0,0.0,0.0,1.0,18.0,4.0,4.0,283.0,3424.010009765625
OCCRA,0.0,0.0,0.0,4.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,239.1999969482422
PEACH,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,123.37000274658203
SOREL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5
THYME,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,7.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,2.0,6.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,409.66000747680664
BANANA,0.0,0.0,0.0,20.0,10.0,14.0,18.0,20.0,5.0,14.0,18.0,25.0,17.0,30.0,32.0,16.0,14.0,21.0,15.0,26.0,20.0,13.0,9.0,15.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,5369.9832763671875
CHIVES,0.0,0.0,0.0,2.0,4.0,7.0,4.0,6.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,9.0,2.0,9.0,8.0,7.0,4.0,2.0,0.0,2.0,4.0,6.0,7.0,3.0,6.0,10.0,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,574.1200103759766
CLOVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,180.8000030517578
ENDIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,370.70001220703125
FENNEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,155.55999755859375
MARGIN,0.26347601413726807,0.2041810005903244,0.17117099463939667,0.2790200114250183,0.2620370090007782,0.248758003115654,0.24000899493694305,0.243817999958992,0.2551650106906891,0.2703010141849518,0.25710099935531616,0.2361000031232834,0.2232699990272522,0.23048099875450134,0.23936299979686737,0.2420720010995865,0.2399889975786209,0.24134700000286102,0.23080900311470032,0.31127598881721497,0.2996470034122467,0.24936099350452423,0.2514219880104065,0.2645620107650757,0.23447099328041077,0.24925999343395233,0.20735499262809753,0.2431049942970276,0.24669399857521057,0.2350820004940033,0.28930899500846863,0.26987800002098083,0.2948710024356842,0.26407700777053833,0.0,0.0,0.823835015296936,0.3047940135002136,0.29392701387405396,0.25131499767303467,,
NUTMEG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,261.5
PAPAYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,54.0
PIGEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,4.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2018.4000244140625
RADISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,98.0
RUCOLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,14.0,43.0,14.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,634.8200073242188
STEVIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,17.0,15.0,1.0,0.0,0.0,0.0,21.0,13.0,3.0,92.0,5414.399993896484
TURKEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2188.7999877929688
AVOCADO,0.0,0.0,0.0,5.0,8.0,5.0,8.0,11.0,10.0,23.0,21.0,30.0,17.0,36.0,32.0,8.0,12.0,23.0,13.0,19.0,8.0,9.0,7.0,9.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,13618.205444335938
CABBAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,66.0
CARROTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,74.0
