Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Yellow carrots,Yellowcarrots,,NGS,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,3,14,32,58,51,36,8,16,24,13,26,15,17,25,24,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,1064.05,944.23,119.82,0.112607,0
lollo bionda,lollobionda,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,12,7,14,15,11,9,16,1,9,6,7,4,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1062.92797,869.13,193.79797,0.182325,0
Mixed nuts,NGSMix,,NGS,Auf,Nuts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,5,5,3,0,0,0,0,0,0,0,19,1055,807.04,247.96,0.235033,0
Beef Entrecote,BeefEntrecote,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0,0,0,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1054.75,800.53,254.22,0.241024,0
Raw pecan 250g,40019,,,Auf,Nuts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1,15,1054.5,761.25,293.25,0.278094,0
Conditioner with tea tree oil,30480,,"Tea Tree Therapy, Inc.",HV,Cosmetics,,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,17,1053.5,865.5,188,0.178453,0
Balady bread (whole grain),Baladibread,,NGS,Karima,Bread,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,10,24,9,23,10,5,0,0,0,0,0,0,106,1052.8,656.21,396.59,0.3767,0
Asparagus (chemical free),Asparaguschemicalfree,,,El Hoda,Chemical free vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20,0,0,0,0,0,0,0,56,1052.8,770,282.8,0.268617,0
Baby french beans,Babyfrenchbeans,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,5,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1051.57,766.65,284.92,0.270947,0
Smoked salmon (frozen),10001,,,ABO,Sea Food,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,14,1033.2,783,250.2,0.24216,0
Green apples (French) - imported,20010,,,Agrovate,Fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,1,32,1031.974874,746.5,285.474874,0.27663,0
Raw Walnut - Shelled,WalnutShelledRaw-KG,,NGS,Abu Auf,Dried Fruits & Nuts,,0,0,0,7,3,4,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1031.4,738,293.4,0.284468,0
Premium Norwegian Smoked Salmon,PremiumNorwegianSmokedSalmon,,NGS,Red Coral,Fish,,0,0,0,1,2,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1026.9,819,207.9,0.202454,0
Short Grain Brown Rice,ShortGrainBrownRice,,Lundberg,Health Harvest,Grains & Cereal,,0,0,0,1,4,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1017.6,864,153.6,0.150943,0
Penne ( gluten free ) - Italian,BioOrganicPennePasta,,NGS,Farmex,Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,6,13,6,2,0,2,1,0,0,0,0,0,0,35,1011.75,648,363.75,0.359526,0
Brown rice cracker,110820,,"Eden Foods, Inc.",HV,Snacks,,0,0,0,0,0,0,0,0,0,3,2,2,0,3,4,2,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1005.3,841.5,163.8,0.162936,0
Bench press oats with apple and cinnamon ( with whey protein ),OomfApplepots,,Alara,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,6,4,7,3,0,0,0,0,0,0,0,0,0,50,1000,800.4,199.6,0.1996,0
Unsweetened soy milk ( Organic ) 946ml,281047,,,HV,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,10,4,33,990,750,240,0.242424,0
Lingoberries ( frozen ) ( cranberry ),Ardolingoberries,,Ardo,Quatro,Frozen fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,2,1,0,1,0,4,0,0,0,0,0,0,16,990,787.94,202.06,0.204101,0
Beef Shanks (Mowaz),BeefShanksMowaz,,Kheir Misr,Butcher,Fresh Beef & Poultry,,0,0,0,0,0,0,0,0,0,1,1,4,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,987.48,715,272.48,0.275935,0
Beef escalope (chemical free) - frozen,Beef,,,El rancho,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,986,722.5,263.5,0.267241,0
Coconut palm Sugar,92106OG,,Wholesome Sweeteners,HV,Sweeteners,,0,0,0,0,0,0,0,0,0,1,0,2,3,1,3,0,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,981.4,832.25,149.15,0.151977,0
Wild rice,1468C088,,Bob's Red Mill,HV,Ricenpasta,,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,968.5,842.4,126.1,0.130201,0
Bananas (chemical free),Bananaschemicalfree,,Balaika,Balaika,Chemical free fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,8,0,0,0,0,0,0,62,964,623.9,340.1,0.352801,0
Quinoa flour (gluten free),281069,,,HV,Baking products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,6,957.6,742.5,215.1,0.224624,0
Red grapes ( imported ),ImportedRedGrapes,,NGS,Agrovate,Fresh fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,5,7,12,6,0,0,0,0,0,0,44,955,774.5,180.5,0.189005,0
Quinoa - white (Peru),40026,,,Auf,Grains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,13,954,715,239,0.250524,0
American yellow apples,Americanyellowapples,,Kheir Misr,Rafic,Fresh fruits,,0,0,0,0,0,0,0,0,0,3,4,6,1,3,1,0,1,2,0,2,1,5,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,952.97,751.66,201.31,0.211245,0
Whey protein (pure),281067,,,HV,Food supplements,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,951,700,251,0.263933,0
Beef (Tribianco),BeefTilibianco,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0,0,0,3.85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,949.59003,558.69,390.90003,0.411651,0
Dried cranberry,281101,,,HV,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,11,937.4,701.25,236.15,0.25192,0
Tamari soy sauce (organic),281105,,,HV,Sauces,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,18,936,675,261,0.278846,0
Shamsy bread (whole grain),Shamsybread,,NGS,Karima,Bread,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,16,16,30,26,17,3,0,0,0,0,0,0,135,924.95,631,293.95,0.317801,0
Clemontene,Clemontene,,Kheir Misr,Rafic,Fresh fruits,,0,0,0,0,0,0,0,0,4,17,18,18,15,23,4,0,0,0,0,4,12,12,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,924.43,774.34,150.09,0.16236,0
Golden Flaxseed Meal,1236C164,,Bob's Red Mill,Health Harvest,Super foods,,0,0,0,2,2,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,921.9,793.8,128.1,0.138952,0
Colored bell pepper (Chemical free),141003,,,El Hoda,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,10,51,918,691.35,226.65,0.246895,0
Begawi eggs ( Chemical free ),BegawieggsChemicalfree,,NGS,Nawaya,Eggs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,22,0,0,0,0,0,0,0,0,0,46,918,768.2,149.8,0.163181,0
Dried Cranberry,DriedCranberry,,NGS,Abu Auf,Dried Fruits & Nuts,,0,0,0,2,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,916.81,636.82,279.99,0.305396,0
Red asparagus (chemical free),341030,,,MAKAR,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,11,44,916,660,256,0.279476,0
Honey biscuits ( gluten free ),Scharfrollinihoneybiscuits,,Schar,international company,Cookies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,1,1,2,9,1,0,0,0,0,0,0,0,28,912.3,745.6,166.7,0.182725,0
Pak choi,pakchoi,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,12,20,13,12,0,1,0,0,0,0,0,0,69,906,690,216,0.238411,0
Raw Cashew nut,Cashewnutraw,,NGS,Auf,Dried Fruits & Nuts,,0,0,0,4,3,4,4,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,904.4,739.84,164.56,0.181955,0
Green beans ( chemical free ),Exportorganicgreenbean,,NGS,El Hoda,Chemical free vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,16,11,4,0,0,0,0,0,0,58,894,705.75,188.25,0.21057,0
Unsweetened soy milk ( Original ),UnsweetenedsoymilkOriginal,,NGS,El_Ansary,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,7,0,0,0,0,0,0,0,28,892,618,274,0.307175,0
Dried mango (chemical free),Minniesdriedmango,,NGS,Minnie's,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,3,4,8,1,2,0,0,0,0,0,0,32,890,712,178,0.2,0
salmon Steak,salmonSteak,,sea world,Favorito,Fish,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,883.8396,659.68,224.1596,0.25362,0
Soy protein powder,1512C144,,Bob's Red Mill,HV,Food supplements,,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,879,765,114,0.129693,0
Brain booster seed mix (milled),Mixedseedsmilled,,Signature,Signature,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,2,4,1,0,0,0,0,0,0,0,25,875,625,250,0.285714,0
Brown rice cakes with flax and tamari (organc) - gluten free,281111,,,HV,Snacks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,2,21,873.6,630,243.6,0.278846,0
Spinach(chemical free),Spinachchemicalfree,,,Tabiey,Chemical free vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,34,5,0,0,0,0,0,0,79,872.95,671.5,201.45,0.230769,0
Salad flowers,Saladflowers,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,9,7,4,3,0,1,0,0,0,0,0,0,39,872.6,701.8,170.8,0.195737,0
Cucumber (chemical free),461006,,,Sara nour,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,29,11,124,872.3,530.75,341.55,0.391551,0
Milk thistle seed powder,201810-53,,"Starwest Botanicals,Inc.",HV,Herbs,,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,868,727,141,0.162442,0
Mushroom,20015,,,Agrovate,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,7,9,46,867,490.29,376.71,0.434498,0
Red asparagus,Redasparagus,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,15,2,0,4,0,0,0,0,0,0,0,0,0,0,36,866.5,685,181.5,0.209463,0
Zucchini (chemical free),461033,,,Sara nour,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,28,0,115,866,577.5,288.5,0.333141,0
Pumpkin seeds (hulled) - organic,281059,,,HV,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,24,864,630,234,0.270833,0
Almond meal flour,281082,,,HV,Baking products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,860.4,678.75,181.65,0.211123,0
Roquette,Roquette,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,31,17,23,34,27,31,9,1,0,0,0,0,0,0,208,857.25,624,233.25,0.272091,0
Kofta,Kofta,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0,0,0,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,856.8,670.71,186.09,0.217192,0
Raw cashew 250g,40018,,,Auf,Nuts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,20,855,570.5,284.5,0.332749,0
Puk choi,Pukchoi,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,1,3,5,1,2,0,2,2,5,1,5,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,853.32,681.87,171.45,0.200921,0
Green iceberg lettuce,Greeniceberg,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,15,12,34,39,22,19,4,3,0,0,0,0,0,0,167,849.5,670.4,179.1,0.21083,0
Premium Norwegian Salmon Steak,PremiumNorwegianSalmonSteak,,NGS,RC,Fish,,0,0,0,0,0,0,0,0,5,14,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,847.62,547.4,300.22,0.354192,0
Millet ( organic ),113035,,"Eden Foods, Inc.",HV,Grains,,0,0,0,0,0,0,0,0,1,2,1,3,1,1,2,1,0,6,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,845.85,696.6,149.25,0.17645,0
Cinnamon raisin granola,1279C124,,Bob's Red Mill,HV,Cereal,,0,0,0,0,0,0,0,0,0,3,2,2,0,2,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,845.5,711,134.5,0.159077,0
Penne (gluten free ) - dr schar,pastapenne,,Schar,international company,Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,4,1,6,3,0,4,3,0,0,0,0,0,0,0,35,844,649.75,194.25,0.230154,0
Gluten free pizza crust,1995C164,,Bob's Red Mill,HV,Gluten free baking,,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,1,2,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,828.5,695.25,133.25,0.160833,0
Chia seeds (organic),Chiaseeds,,,ISIS,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,8,826,560,266,0.322034,0
Dandelion root powder,209250-50,,"Starwest Botanicals,Inc.",HV,Herbs,,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,13,819,660,159,0.194139,0
Pears ( American ) - imported,ImportedAfricanPears,,NGS,Agrovate,Fresh fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,21,11,11,0,0,0,0,0,0,0,48,817.5,622.95,194.55,0.237982,0
Granola bars (blueberry),281094,,,HV,Snacks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,15,810,585,225,0.277778,0
Liquid soap with tea tree oil,60360,,"Tea Tree Therapy, Inc.",HV,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,19,810,620,190,0.234568,0
Broccoli,Broccoli,,NGS,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,8,13,26,18,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,804.11,614.49,189.62,0.235814,0
Dried Goji Berries,driedGojiBerries,,NGS,Abu Auf,Super foods,,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,800.25,412.34,387.91,0.484736,0
Potatoes( chemical free),Potatoeschemicalfree,,,Sara nour,Chemical free vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,35,10,0,0,0,0,0,0,83,796.8,725.55,71.25,0.08942,0
Green coffee (natural weight loss),40010,,,Auf,Beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,3,36,791,630,161,0.20354,0
Miso - Hacho,Miso-Hacho,,Eden,Health Harvest,Super foods,,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,789.9,675,114.9,0.145461,0
Flax Seeds ( Egyptian ) 100g,291005,,,IMN,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18,11,73,787.5,598,189.5,0.240635,0
Bedouin lamb beit kalawi ( Chemical free ),BedouinbeitkalawiChemicalfree,,NGS,Obayed,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,13,780,617.5,162.5,0.208333,0
Cranberry juice,NaturalCranberry,,Berry company,mmb,Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,7,4,5,2,4,1,0,0,0,0,0,0,27,779,606.24,172.76,0.221772,0
Grape fruit,Grapefruit,,Kheir Misr,Rafic,Fresh fruits,,0,0,0,0,0,0,0,0,0,4,1,22,9,12,29,4,5,12,3,0,1,4,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,775.3,621.68,153.62,0.198143,0
Green beans (chemical free) - french,341017,,,MAKAR,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,7,38,773.8,570,203.8,0.263376,0
Sea salt ( potugese ) - fine grind 453g,281037,,,HV,Spices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,26,768,575,193,0.251302,0
Rib eye steak ( Chemical free ) - frozen,151011,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,765.2,537.5,227.7,0.297569,0
Dried strawberris ( chemical free ),351019,,,Minnie's,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,19,762.6,558,204.6,0.268293,0
Beef shanks ( Chemical free ) - frozen,151008,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,15,760.4,562.5,197.9,0.260258,0
Green beans (french),Greenbeansfrench,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,13,0,0,0,0,0,0,0,0,0,0,0,40,760,600,160,0.210526,0
Brown rice spaghetti ( American ) - gluten free - organic 284g,281010,,,HV,Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,17,752.5,612,140.5,0.186711,0
Lemon,Lemon,,NGS,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,13,11,16,18,8,5,13,7,10,6,10,8,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,752,626.85,125.15,0.166423,0
Baking soda 453g,281003,,,HV,Baking products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,1,25,750,552.5,197.5,0.263333,0
Bolti fillet(chemical free),Boltifilletchemicalfree,,,Bustan aquaponics,Fish,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,8,749.5,680,69.5,0.092728,0
Turkey,321003,,,Karima,Poultry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,748.8,576,172.8,0.230769,0
Dried fruit mix ( chemical free ),351009,,,Minnie's,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,27,743.7,567.5,176.2,0.236923,0
Blueberries ( frozen ),441004,,,Quatro,Fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,742.5,540,202.5,0.272727,0
Red endive,Redendive,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,3,2,1,2,1,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,742,623.28,118.72,0.16,0
Maca root powder,281026,,,HV,Food supplements,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,18,736,572.18,163.82,0.222582,0
Lolla rossa (chemical free),341024,,,MAKAR,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,24,19,92,736,460,276,0.375,0
Flax milk original ( organic ),Flaxmilkoriginal,,Flax usa,HV,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,23,736,568.5,167.5,0.227582,0
Dried Goji Berries,DriedGojiDerries,,,Auf,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,1,0,0,0,0,0,0,14,735,588,147,0.2,0
