Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Chia seeds (organic),221002,,,Good life,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,62,6,134,10919.056,5954.28,4964.776,0.454689,0
Beef Fillet,BeefFillet,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0,0,0,44.8,4,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,10515.60597,6839.19589,3676.41008,0.349615,0
Quinoa (white) - organic,Quinoa,,Bob's Red Mill,Auf,Grains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,80,26,25,0,7,0,0,0,0,0,0,0,149,10419.41,10480.19,-60.78,-0.005833,0
"Muesli with mixed berries, oat flakes, and seeds (organic)",221008,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,107,35,210,10412.07475,6926.4,3485.674745,0.334772,0
Whole chicken,80005,,,Butcher,Poultry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,76,23,245,10144.5,7848.88,2295.62,0.226292,0
Avocadoes ( imported ),ImportedAvocadoes,,NGS,Agrovate,Fresh fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,25,48,54,56,73,46,8,0,0,0,0,0,0,341,9742.3,7457.8,2284.5,0.234493,0
Almond milk ( organic ),065009PacificOrg,,Pacific Natural Foods,HV,Non-dairy milk,,0,0,0,0,0,0,0,0,3,40,20,40,41,46,9,0,0,57,30,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,291,9418.84,7723.4,1695.44,0.180005,0
"Muesli with quinoa, amaranth, apple, seeds and nuts ( gluten free )",221009,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,89,41,191,9375.784745,6941.52,2434.264745,0.259633,0
Pure oats ( gluten free ),221015,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,61,8,227,9317.114,5848,3469.114,0.372338,0
Kale,Kale,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,64,52,50,89,42,53,45,59,8,0,0,0,0,0,0,476,9203,7140,2063,0.224166,0
