Created at,All,Unfulfilled,% Unfulfilled
2015-11-26,15,13,86.66666666666667
2015-11-27,18,10,55.55555555555556
2015-11-28,21,0,0.0
2015-11-29,20,3,15.0
2015-11-30,17,1,5.882352941176471
2015-12-01,15,5,33.333333333333336
2015-12-02,14,14,100.0
