Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Quinoa ( white ) - organic / 454g,106900,,"Eden Foods, Inc.",HV,Grains,,0.000000,0.000000,0.000000,0.000000,3.000000,17.000000,26.000000,22.000000,18.000000,16.000000,0.000000,0.000000,0.000000,63.000000,38.000000,78.000000,14.000000,12.000000,1.000000,37.000000,36.000000,57.000000,15.000000,33.000000,31.000000,126.000000,72.000000,70.000000,58.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,852.000000,62300.960000,51333.740000,10967.220000,0.176036,0.000000
Chicken Breasts / 1kg,ChickenBreasts,,NGS,Butcher,Fresh poultry,,0.000000,0.000000,0.000000,0.000000,9.000000,26.000000,39.000000,55.000000,32.000000,47.000000,45.000000,20.000000,33.000000,40.000000,35.000000,38.000000,28.000000,33.000000,32.000000,36.000000,45.000000,36.000000,69.000000,51.000000,75.000000,85.000000,78.000000,85.000000,63.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1160.000000,59336.960000,45182.000000,14154.960000,0.238552,0.000000
Whole Chicken / 1kg,WholeChicken,,NGS,Butcher,Fresh poultry,,0.000000,0.000000,0.000000,0.000000,5.000000,45.000000,72.000000,35.000000,52.000000,79.000000,35.000000,48.000000,19.000000,93.000000,35.000000,57.000000,83.000000,64.000000,61.000000,40.000000,48.000000,42.000000,65.000000,35.000000,50.000000,56.000000,60.000000,52.000000,45.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1286.000000,40680.500000,31340.300000,9340.200000,0.229599,0.000000
Beef Fillet / 1kg,BeefFillet,,NGS,Butcher,Fresh beef,,0.000000,0.000000,0.000000,0.000000,4.000000,12.000000,9.000000,11.000000,3.000000,6.000000,9.000000,3.000000,1.000000,16.510000,7.000000,6.000000,3.000000,3.000000,2.000000,2.000000,2.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.510000,25178.217820,17442.500000,7735.717820,0.307238,0.000000
Beef fillet (whole),151017,,,El rancho,Beef,Wholesale,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134.905000,14.200000,0.000000,149.105000,23672.175800,20129.175000,3543.000800,0.149669,0.000000
Coconut oil (organic) - for cooking,Coconutoilorganic-forcooking,,Divine coconut,Divine coconut,Oil,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,15.000000,17.000000,22.000000,24.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.000000,20635.000000,15696.250000,4938.750000,0.239339,0.000000
Inside Cairo delivery fee,InsideCairodeliveryfee,,Freight,Freight,Delivery,,0.000000,0.000000,0.000000,0.000000,28.000000,99.000000,114.000000,124.000000,111.000000,125.000000,127.000000,65.000000,41.000000,114.000000,82.000000,80.000000,71.000000,73.000000,64.000000,72.000000,90.000000,136.000000,157.000000,48.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1821.000000,18207.761412,2200.000000,16007.761412,0.879172,0.000000
Dried cranberry / 200g,DriedCranberry,,NGS,Auf,Dried fruits,,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,6.000000,2.000000,4.000000,4.000000,10.000000,4.000000,1.000000,7.250000,19.000000,7.000000,6.000000,4.000000,5.000000,7.000000,15.000000,4.000000,6.000000,3.000000,6.000000,16.000000,30.000000,9.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,199.250000,17477.037000,7520.007500,9957.029500,0.569721,0.000000
Chicken breast,80001,,,Butcher,Poultry,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,196.000000,67.000000,28.000000,292.000000,16683.427350,13272.450000,3410.977350,0.204453,0.000000
Coconut oil (organic) - for cooking,101001,,,Divine coconut,Oil,"Super food, Weight loss, Oil",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,67.000000,18.000000,15.000000,104.000000,15273.905155,11648.000000,3625.905155,0.237392,0.000000
