Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015
Granola with fruits and seeds ( gluten free ),221004,,,Good life,Cereal,gluten free,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,38.33306666666667,52.0,52.0
Balady eggs ( chemical free ),Eggbaldy,,NGS,Sara nour,Eggs,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Dried blueberries / 250g,DriedBlueberries,,NGS,Auf,Dried fruits,,53.93,53.93,53.93,53.93,53.93,53.93,53.93,55.5,55.5,56.51000000000001,60.55,61.27,61.27,38.49842105263158,44.714285714285715,60.0,60.0,60.0,60.0,60.0,36.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Skinny oats with berries and green tea extract ( for weight loss ),221018,,,Good life,Cereal,Weight loss,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,23.20529545454545,17.771282868525894,14.803255424778762
Unsweetened almond milk,281046,,,HV,Non-dairy milk,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,33.823529411764696,34.635416666666664
Cairo,Cairo,,Freight,Freight,General,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,General,,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,11.5625,10.425055928411632,10.109829038834949,9.903281515151514
Oat milk ( organic ) / 946ml,065702PacificOrg,,Pacific Natural Foods,HV,Non-dairy milk,,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,33.6,33.6,33.6,33.6,33.6,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75
Beef cubes (chemical free) - frozen,Beefcubeschemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,49.0,49.0,49.0,49.0,49.55813953488372,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Beef fillet (chemical free) - frozen,151003,,,El rancho,Beef,"Frozen, Chemical free, Beef",89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,90.1,93.38823529411764,97.2120603
Maple syrup (organic),281102,,,HV,Sweeteners,"Organic, Sweeteners",96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,94.8250237,92.86597933333331
Whey protein / 340g,1289C124,,Bob's Red Mill,HV,Food supplements,,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,141.75,141.75,141.75,141.75,141.75,141.75,141.75,141.75,141.75,141.8,141.8,141.8,141.8,141.8,141.8,131.6,141.8,141.8,141.8,141.8,141.8,141.8,141.8,141.8
Muesli with branberry and strawberries ( organic ),221005,,,Good life,Cereal,Organic,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,34.417741935483875,32.05045871559633,19.27875381395349
